"Daten ID";"Entnahmedatum";"Entnahmezeit";"Witterung";"Schüttungsmenge";"Wassertemperatur";"Trübung";"Elektr Leitfähigkeit";"pH-Wert";"Sauerstoff";"Sauerstoffsättigung";"Chemische Analysen";"Bakteriologische Analysen";"Bemerkungen Messdaten"
361;04.08.1998 00:00:00;;"trocken";134.20;6.90;;329.00;;;;;;
362;04.08.1998 00:00:00;;"trocken";165.30;6.90;;338.00;;;;;;
363;04.08.1998 00:00:00;;"trocken";115.60;7.20;;314.00;;;;;;
365;04.08.1998 00:00:00;;"trocken";20.10;7.50;;323.00;;;;;;
366;04.08.1998 00:00:00;;"trocken";104.90;6.90;;310.00;;;;;;
367;04.08.1998 00:00:00;;"trocken";32.40;7.20;;312.00;;;;;;
368;04.08.1998 00:00:00;;"trocken";5.10;7.60;;30.00;;;;;;
378;04.08.1998 00:00:00;;"trocken";43.40;8.60;;212.00;;;;;;
379;04.08.1998 00:00:00;;"trocken";32.60;8.70;;228.00;;;;;;
380;04.08.1998 00:00:00;;"trocken";5.00;9.20;;229.00;;;;;;
578;04.08.1998 00:00:00;;"trocken";200.00;8.50;;220.00;;;;;;
725;04.08.1998 00:00:00;;"trocken";12.60;7.40;;323.00;;;;;;
334;04.08.1998 00:00:00;;"trocken";2000.00;6.10;;124.00;;;;;;
335;04.08.1998 00:00:00;;"trocken";3725.00;6.30;;102.00;;;;;;
389;21.08.1998 00:00:00;;"trocken";;5.40;;337.00;;;;;;
388;21.08.1998 00:00:00;;"trocken";35.30;5.30;;261.00;;;;;;
387;21.08.1998 00:00:00;;"trocken";;5.40;;324.00;;;;;;
785;18.08.1998 00:00:00;;"trocken";;10.30;;294.00;;;;;;
784;18.08.1998 00:00:00;;"trocken";0.00;;;;;;;;;
783;18.08.1998 00:00:00;;"trocken";0.05;9.60;;297.00;;;;;;
782;18.08.1998 00:00:00;;"trocken";;6.90;;365.00;;;;;;
781;18.08.1998 00:00:00;;"trocken";4.00;7.30;;209.00;;;;;;
780;18.08.1998 00:00:00;;"trocken";20.00;4.60;;210.00;;;;;;
779;18.08.1998 00:00:00;;"trocken";0.50;7.40;;207.00;;;;;;
778;21.08.1998 00:00:00;;"leichter Regen";0.00;;;;;;;;;
777;18.08.1998 00:00:00;;"trocken";10.00;9.20;;348.00;;;;;;
776;21.08.1998 00:00:00;;"leichter Regen";0.00;;;;;;;;;
77;06.07.1998 00:00:00;;"trocken";3.10;8.30;;350.00;;;;;;
78;06.07.1998 00:00:00;;"trocken";11.30;9.50;;517.00;;;;;;
80;06.07.1998 00:00:00;;"trocken";26.90;8.40;;375.00;;;;;;
84;06.07.1998 00:00:00;;"trocken";0.65;15.50;;423.00;;;;;;
87;06.07.1998 00:00:00;;"trocken";5.00;10.60;;374.00;;;;;;
89;18.08.1998 00:00:00;;"trocken";15.00;10.10;;395.00;;;;;;
90;18.08.1998 00:00:00;;"trocken";30.00;9.50;;391.00;;;;;;
91;18.08.1998 00:00:00;;"trocken";;10.90;;393.00;;;;;;
92;06.07.1998 00:00:00;;"trocken";12.40;16.10;;463.00;;;;;;
95;06.07.1998 00:00:00;;"trocken";5.00;13.10;;460.00;;;;;;
97;06.07.1998 00:00:00;;"trocken";21.40;10.30;;385.00;;;;;;
99;06.07.1998 00:00:00;;"trocken";;12.70;;448.00;;;;;;
100;18.08.1998 00:00:00;;"trocken";5.00;9.70;;467.00;;;;;;
101;18.08.1998 00:00:00;;"trocken";5.00;14.80;;519.00;;;;;;
102;06.07.1998 00:00:00;;"trocken";;7.90;;328.00;;;;;;
103;06.07.1998 00:00:00;;"trocken";;8.70;;329.00;;;;;;
104;06.07.1998 00:00:00;;"trocken";25.80;9.60;;350.00;;;;;;
107;06.07.1998 00:00:00;;"trocken";5.00;9.80;;351.00;;;;;;
108;06.07.1998 00:00:00;;"trocken";39.40;7.90;;350.00;;;;;;
109;06.07.1998 00:00:00;;"trocken";17.90;9.20;;377.00;;;;;;
110;06.07.1998 00:00:00;;"trocken";14.80;8.00;;319.00;;;;;;
111;06.07.1998 00:00:00;;"trocken";10.00;6.60;;262.00;;;;;;
112;06.07.1998 00:00:00;;"trocken";;7.90;;402.00;;;;;;
115;06.07.1998 00:00:00;;"trocken";3.00;6.80;;318.00;;;;;;
116;06.07.1998 00:00:00;;"trocken";5.00;7.80;;436.00;;;;;;
117;06.07.1998 00:00:00;;"trocken";20.00;8.10;;352.00;;;;;;
119;18.08.1998 00:00:00;;"trocken";1000.00;4.60;;216.00;;;;;;
120;18.08.1998 00:00:00;;"leichter Regen";;3.60;;195.00;;;;;;
121;18.08.1998 00:00:00;;"trocken";;3.20;;178.00;;;;;;
687;18.08.1998 00:00:00;;"trocken";2.50;5.20;;210.00;;;;;;
690;21.08.1998 00:00:00;;"leichter Regen";;6.90;;180.00;;;;;;
691;18.08.1998 00:00:00;;"trocken";1.50;8.70;;189.00;;;;;;
692;18.08.1998 00:00:00;;"trocken";0.00;;;;;;;;;
771;06.07.1998 00:00:00;;"trocken";;10.60;;350.00;;;;;;
772;06.07.1998 00:00:00;;"trocken";4.00;11.60;;366.00;;;;;;
773;06.07.1998 00:00:00;;"trocken";1.00;6.90;;308.00;;;;;;
775;06.07.1998 00:00:00;;"trocken";20.00;8.60;;380.00;;;;;;
474;22.07.1998 00:00:00;;;1000.00;8.00;;180.00;;;;;;
475;22.07.1998 00:00:00;;;284.60;7.90;;181.00;;;;;;
476;22.07.1998 00:00:00;;;230.80;7.80;;182.00;;;;;;
477;22.07.1998 00:00:00;;;30.00;4.80;;177.00;;;;;;
478;03.09.1998 00:00:00;;;60.00;4.80;;190.00;;;;;;
490;22.07.1998 00:00:00;;;1.20;6.40;;72.00;;;;;;
788;22.07.1998 00:00:00;;;0.50;10.50;;60.00;;;;;;
789;22.07.1998 00:00:00;;;3.10;9.60;;107.00;;;;;;
790;22.07.1998 00:00:00;;;;7.50;;65.00;;;;;;
791;22.07.1998 00:00:00;;;265.50;7.40;;64.00;;;;;;
793;22.07.1998 00:00:00;;;85.70;4.70;;173.00;;;;;;
794;26.08.1998 00:00:00;;;15.00;8.90;;369.00;;;;;;
