Schluessel;Objektname;Lokalbezeichnung;Gemeinde;Postleitzahl;x-Koordinate;y-Koordinate;Parz_Nr;Fassungseigentuemer;OK_Terrain;Schachtueberstand;Ordnungs-Nr;Lagegenauigkeit;Verwendungszweck;Verwendungsart;Fassungsart;Fassungszustand;Fassungsabdeckung;Schachttyp;Datenherkunft;Kontaktperson;Bemerkungen Objektdaten;Foto;Fassung;Schutzzone;Anzahl_Zuleitungen;Schloss;Aufgenommen_durch;Erhebungsdatum;Alte_Ordnungs-Nr;Feldbegehung;Foto-Negativ-Nr_1;Foto-Negativ-Nr_2;Foto-Negativ-Nr_3;Objektbereinigung;WVA-Nutzung;WVA-Nutzung_ergaenzen;WVA-Nutzung_streichen;WVA-Nutzung_Lage_neu
84-M;Quelle Boden;Boden;Obstalden;8758;730324;220010;539;unbekannt;577;unbekannt;;aus Plan gelesen;unbekannt;unbekannt;unbekannt;unbekannt;unbekannt;unbekannt;Nachführung QK AUE, Quellenkataster SiSto Kerenzerberg;;;;;;;;F. Brunold;;;;;;;;;;;
201a;Quelle Bodeneggli;Bodeneggli;Obstalden;8758;729692;219597;311;unbekannt;812;unbekannt;;aus Plan gelesen;unbekannt;unbekannt;unbekannt;unbekannt;unbekannt;unbekannt;Nachführung QK AUE, Quellenkataster SiSto Kerenzerberg;;;;;;;;F. Brunold;;;;;;;;;;;
203;Quelle Chappeli;Chappeli;Obstalden;8758;730901;219510;121;unbekannt;688;unbekannt;;aus Plan gelesen;unbekannt;unbekannt;unbekannt;unbekannt;unbekannt;unbekannt;Nachführung QK AUE, Quellenkataster SiSto Kerenzerberg;;;;;;;;F. Brunold;;;;;;;;;;;
87-M;Quelle Grüenigen;Grüenigen;Obstalden;8758;730234;220058;222;unbekannt;548;unbekannt;;aus Plan gelesen;unbekannt;unbekannt;unbekannt;unbekannt;unbekannt;unbekannt;Nachführung QK AUE, Quellenkataster SiSto Kerenzerberg;;;;;;;;F. Brunold;;;;;;;;;;;
88;Quelle Grüenigen;Grüenigen;Obstalden;8758;730208;220071;222;unbekannt;550;unbekannt;;aus Plan gelesen;unbekannt;unbekannt;unbekannt;unbekannt;unbekannt;unbekannt;Nachführung QK AUE, Quellenkataster SiSto Kerenzerberg;;;;;;;;F. Brunold;;;;;;;;;;;
103;Quelle Hinter Schwändi;Hinter Schwändi;Obstalden;8758;730124;219244;47;unbekannt;792;unbekannt;;aus Plan gelesen;unbekannt;unbekannt;unbekannt;unbekannt;unbekannt;unbekannt;Nachführung QK AUE, Quellenkataster SiSto Kerenzerberg;;;;;;;;F. Brunold;;;;;;;;;;;
777;Quelle Hinter Schwändi;Hinter Schwändi;Obstalden;8758;730354;219208;83;unbekannt;788;unbekannt;;aus Plan gelesen;unbekannt;unbekannt;unbekannt;unbekannt;unbekannt;unbekannt;Nachführung QK AUE, Quellenkataster SiSto Kerenzerberg;;;;;;;;F. Brunold;;;;;;;;;;;
108.1;Quelle Hoschet;Hoschet;Obstalden;8758;729737;219777;306;unbekannt;729;unbekannt;;aus Plan gelesen;unbekannt;unbekannt;unbekannt;unbekannt;unbekannt;unbekannt;Nachführung QK AUE, Quellenkataster SiSto Kerenzerberg;;;;;;;;F. Brunold;;;;;;;;;;;
93;Quelle Nidstalden;Nidstalden;Obstalden;8758;729919;220123;687;unbekannt;592;unbekannt;;aus Plan gelesen;unbekannt;unbekannt;unbekannt;unbekannt;unbekannt;unbekannt;Nachführung QK AUE, Quellenkataster SiSto Kerenzerberg;;;;;;;;F. Brunold;;;;;;;;;;;
93-M;Quelle Nidstalden;Nidstalden;Obstalden;8758;729917;220143;242;unbekannt;583;unbekannt;;aus Plan gelesen;unbekannt;unbekannt;unbekannt;unbekannt;unbekannt;unbekannt;Nachführung QK AUE, Quellenkataster SiSto Kerenzerberg;;;;;;;;F. Brunold;;;;;;;;;;;
94;Quelle Nidstalden;Nidstalden;Obstalden;8758;730075;220215;228;unbekannt;547;unbekannt;;aus Plan gelesen;unbekannt;unbekannt;unbekannt;unbekannt;unbekannt;unbekannt;Nachführung QK AUE, Quellenkataster SiSto Kerenzerberg;;;;;;;;F. Brunold;;;;;;;;;;;
201;Quelle Ober Gerstgarten;Ober Gerstgarten;Obstalden;8758;729621;219555;312;unbekannt;818;unbekannt;;aus Plan gelesen;unbekannt;unbekannt;unbekannt;unbekannt;unbekannt;unbekannt;Nachführung QK AUE, Quellenkataster SiSto Kerenzerberg;;;;;;;;F. Brunold;;;;;;;;;;;
;Quelle Rüti;Rüti;Obstalden;8758;730130;219849;349;A. Heussi;641;unbekannt;;aus Plan gelesen;unbekannt;unbekannt;unbekannt;unbekannt;unbekannt;unbekannt;Plan GeoShop Glarus;A. Heussi 055 614 11 13;;;;;;;F. Brunold;;;;;;;;;;;
82;Quelle Rüti;Rüti;Obstalden;8758;730130;219836;216;unbekannt;646;unbekannt;;aus Plan gelesen;unbekannt;unbekannt;unbekannt;unbekannt;unbekannt;unbekannt;Nachführung QK AUE, Quellenkataster SiSto Kerenzerberg;;;;;;;;F. Brunold;;;;;;;;;;;
83;Quelle Rüti;Rüti;Obstalden;8758;730137;219810;216;unbekannt;657;unbekannt;;aus Plan gelesen;unbekannt;unbekannt;unbekannt;unbekannt;unbekannt;unbekannt;Nachführung QK AUE, Quellenkataster SiSto Kerenzerberg;;;;;;;;F. Brunold;;;;;;;;;;;
98;Quelle Schneeliwald;Schneeliwald;Obstalden;8758;730406;220198;194;unbekannt;469;unbekannt;;aus Plan gelesen;unbekannt;unbekannt;unbekannt;unbekannt;unbekannt;unbekannt;Nachführung QK AUE, Quellenkataster SiSto Kerenzerberg;;;;;;;;F. Brunold;;;;;;;;;;;
96;Quelle Staldli;Staldli;Obstalden;8758;729568;220192;330;unbekannt;615;unbekannt;;aus Plan gelesen;unbekannt;unbekannt;unbekannt;unbekannt;unbekannt;unbekannt;Nachführung QK AUE, Quellenkataster SiSto Kerenzerberg;;;;;;;;F. Brunold;;;;;;;;;;;
89;Quelle Stuggacher;Stuggacher;Obstalden;8758;730074;220037;238;unbekannt;589;unbekannt;;aus Plan gelesen;unbekannt;unbekannt;unbekannt;unbekannt;unbekannt;unbekannt;Nachführung QK AUE, Quellenkataster SiSto Kerenzerberg;;;;;;;;F. Brunold;;;;;;;;;;;
90;Quelle Stuggacher;Stuggacher;Obstalden;8758;730063;220047;239;unbekannt;589;unbekannt;;aus Plan gelesen;unbekannt;unbekannt;unbekannt;unbekannt;unbekannt;unbekannt;Nachführung QK AUE, Quellenkataster SiSto Kerenzerberg;;;;;;;;F. Brunold;;;;;;;;;;;
